"time","siteID","gcc_90","gcc_sd"
2016-12-13,"HARV",0.32901,0.000213924186456361
2016-12-14,"HARV",0.32811,0.00014603454441764
2016-12-15,"HARV",0.32955,0.000462707531375751
2016-12-16,"HARV",0.32874,0.000329109296404083
2016-12-17,"HARV",0.33152,0.000355485296346226
2016-12-18,"HARV",0.33194,0.000261830569924404
2016-12-19,"HARV",0.32941,0.000295099360644958
2016-12-20,"HARV",0.3296,0.000368432983965153
2016-12-21,"HARV",0.32933,0.000474848622925124
2016-12-22,"HARV",0.32927,0.00073531987652744
2016-12-23,"HARV",0.32933,0.000450692276573792
2016-12-24,"HARV",0.32995,0.000259352927927359
2016-12-25,"HARV",0.32969,0.000261996778294568
2016-12-26,"HARV",0.33023,0.000514899540033329
2016-12-27,"HARV",0.33142,0.000391143652821905
2016-12-28,"HARV",0.32951,0.000210381116751759
2016-12-29,"HARV",0.33074,0.00033315683932922
2016-12-30,"HARV",0.32913,0.00052266120450429
2016-12-31,"HARV",0.32985,0.000322748417217381
2017-01-01,"HARV",0.33002,0.000742106248237721
2017-01-02,"HARV",0.32976,0.000134879538092021
2017-01-03,"HARV",0.3301,0.000134008071642364
2017-01-04,"HARV",0.33048,0.000281504141412979
2017-01-05,"HARV",0.32928,0.000362662152332849
2017-01-06,"HARV",0.32916,0.000223753349079942
2017-01-07,"HARV",0.32927,0.000140932608008216
2017-01-08,"HARV",0.32865,0.000574625734451456
2017-01-09,"HARV",0.32841,0.000179262293290921
2017-01-10,"HARV",0.32982,0.000100656327801738
2017-01-11,"HARV",0.32971,0.000391252893319159
2017-01-12,"HARV",0.33217,0.000250503757762355
2017-01-13,"HARV",0.32894,0.000263528214808203
2017-01-14,"HARV",0.3283,0.000106585024027484
2017-01-15,"HARV",0.32855,0.000621635730331273
2017-01-16,"HARV",0.32831,0.00030305686406538
2017-01-17,"HARV",0.3283,0.000299867464601502
2017-01-18,"HARV",0.32792,0.000297877994473973
2017-01-19,"HARV",0.33022,0.000306804560538705
2017-01-20,"HARV",0.32969,9.58248827980775e-05
2017-01-21,"HARV",NA,NA
2017-01-22,"HARV",NA,NA
2017-01-23,"HARV",NA,NA
2017-01-24,"HARV",NA,NA
2017-01-25,"HARV",NA,NA
2017-01-26,"HARV",NA,NA
2017-01-27,"HARV",NA,NA
2017-01-28,"HARV",NA,NA
2017-01-29,"HARV",NA,NA
2017-01-30,"HARV",0.32939,0.000502268103055472
2017-01-31,"HARV",0.3284,0.000217323323503886
2017-02-01,"HARV",0.32916,0.000285092397482011
2017-02-02,"HARV",0.32875,0.000285415775488946
2017-02-03,"HARV",0.32894,0.000194108759751442
2017-02-04,"HARV",0.32869,0.000316794207326959
2017-02-05,"HARV",0.32899,0.000131323939717235
2017-02-06,"HARV",0.32886,0.00021322443479075
2017-02-07,"HARV",NA,NA
2017-02-08,"HARV",0.32956,0.000132442247714201
2017-02-09,"HARV",0.33285,0.000349271907994739
2017-02-10,"HARV",0.32826,0.000169604029842369
2017-02-11,"HARV",0.32894,7.18122523796444e-05
2017-02-12,"HARV",0.33093,0.000351469166644883
2017-02-13,"HARV",0.32898,0.00045106659311965
2017-02-14,"HARV",0.32874,8.35820506070106e-05
2017-02-15,"HARV",0.32988,0.000204609034851495
2017-02-16,"HARV",0.32967,0.000215472522989045
2017-02-17,"HARV",0.32883,0.000169774880957353
2017-02-18,"HARV",0.33036,0.000183035738675962
2017-02-19,"HARV",0.33015,0.000108894444302724
2017-02-20,"HARV",0.32906,0.000112641022722625
2017-02-21,"HARV",0.32983,0.000144244124133142
2017-02-22,"HARV",0.33018,0.000272366907396794
2017-02-23,"HARV",0.33006,0.000195880905091818
2017-02-24,"HARV",0.33048,9.88763400022711e-05
2017-02-25,"HARV",0.33012,0.000191630345686046
2017-02-26,"HARV",0.32807,0.000471969103104977
2017-02-27,"HARV",0.32762,0.000256456086864398
